slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_sec,end_sec,duration_sec,vowel_type,pitch_org_praat,f1_mean_org_praat,f2_mean_org_praat,f3_mean_org_praat,f4_mean_org_praat,f1_median_org_praat,f2_median_org_praat,f3_median_org_praat,f4_median_org_praat
10,33258,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRHL0/SX75.WAV,MRHL0,M,14210,16417,0.888125,1.0260625,0.1379375,iy,142.46570147463405,510.66362363173903,1529.6665271396755,2504.055152766239,3343.9843250584595,504.12887866747855,1501.4595072005798,2615.6776895874177,3365.68739317684
11,20886,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/MSLB0/SX293.WAV,MSLB0,M,3986,4840,0.249125,0.3025,0.053375,iy,131.0078619463976,547.4117336056796,1680.1378960482891,2441.747622617118,3610.354989733498,510.3944801592656,1681.7426743574997,2548.2867731844285,3772.242817442768
12,5249,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MCSH0/SA2.WAV,MCSH0,M,11040,13720,0.69,0.8575,0.1675,iy,141.84976728301274,526.9940324025969,1537.490557787687,2381.6896104359994,3262.911700861448,525.1284933761984,1587.6814693407637,2487.112541875223,3267.013627354901
13,76874,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MCXM0/SA1.WAV,MCXM0,M,4108,4678,0.25675,0.292375,0.035625,iy,94.96296575097564,519.8220837919172,1425.6728387573678,2070.902508249032,3378.963828618682,512.9614991474,1491.0813211231252,2044.043930254156,3348.995375533329
14,34521,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MTDB0/SA2.WAV,MTDB0,M,22516,24020,1.40725,1.50125,0.094,iy,96.09686601999525,513.7843126591689,1488.4188515258709,2326.5201148021315,3649.2382748613695,502.5696799388657,1540.47208127645,2380.764000254113,3676.213136319828
15,847,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MREB0/SX25.WAV,MREB0,M,7000,7853,0.4375,0.4908125,0.0533125,iy,106.6831901451822,521.2181189783566,1463.0407951043103,2326.6087123638663,3175.8485357926547,524.5848834989164,1504.7535600603424,2360.180295679091,3173.789491791687
16,58680,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MMAB1/SX324.WAV,MMAB1,M,48416,49711,3.026,3.1069375,0.0809375,iy,101.8495623326064,531.4847617799693,1284.8126290967714,2218.493634218976,3252.273074503912,521.6698370391596,1188.076257101728,2332.7910639540414,3197.019755215312
17,63903,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MDRD0/SX122.WAV,MDRD0,M,11900,14120,0.74375,0.8825,0.13875,iy,121.9406367915754,571.1504932427238,1550.1369140817926,2669.8075516772387,3579.842355450753,568.9093826727656,1521.1913849745497,2700.1304499717107,3579.785346535551
18,3363,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MJAR0/SX278.WAV,MJAR0,M,37263,38840,2.3289375,2.4275,0.0985625,iy,158.16246869159772,493.18114066398806,1680.7652197271036,2500.3163445004616,3395.881327755216,485.6621182505624,1636.1457485075002,2553.6537561992754,3406.8581620732066
19,59590,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MREW1/SA1.WAV,MREW1,M,4080,5430,0.255,0.339375,0.084375,iy,137.09734214565492,513.847573437428,1561.5655185250357,2384.904332313833,3408.448006926584,483.3258039240196,1618.0641618347177,2416.4480536615174,3354.8573542786617
20,65392,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MSDS0/SX267.WAV,MSDS0,M,54341,55030,3.3963125,3.439375,0.0430625,iy,146.66609363479128,544.5951478762369,1482.3010341998088,2277.346145317339,3215.9001469821683,533.2000680967361,1418.8946810392265,2332.726549747409,3199.6949442221285
21,15174,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MSFH1/SI1900.WAV,MSFH1,M,14036,15320,0.87725,0.9575,0.08025,iy,109.01868694665345,475.5447852036862,1620.229875912299,2686.320554613598,3696.09310571199,457.2873576367693,1629.8826986994854,2639.9921596705785,3730.949645409286
22,65258,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MSAT1/SX173.WAV,MSAT1,M,47890,49664,2.993125,3.104,0.110875,iy,120.83349192747076,577.7183572187772,1364.2335419607912,2308.608210914386,3515.833171091769,549.4143268658311,1299.100228716226,2385.470447731155,3691.519288300139
23,3221,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MGWT0/SX189.WAV,MGWT0,M,17080,18200,1.0675,1.1375,0.07,iy,122.8277095035041,604.2608260255128,1595.4952018880122,2460.1932325177763,3498.9186921475043,554.5611916535967,1589.8596775823107,2569.2176680302287,3535.819384475228
24,56719,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MDSJ0/SA1.WAV,MDSJ0,M,4340,5360,0.27125,0.335,0.06375,iy,112.56844344939876,555.2745617206431,1572.1034662000782,2366.175044641503,3200.9570406664534,451.264596452015,1584.4083551658337,2388.486489800377,3145.384142847677
25,31767,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MMAA0/SI1588.WAV,MMAA0,M,4930,6200,0.308125,0.3875,0.079375,iy,145.21534473630183,586.3592730470847,1658.930582802437,2591.7883200981564,3716.390255033631,515.532667470843,1652.4025552822477,2698.337260903616,3688.918845277055
26,31503,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MKDT0/SA2.WAV,MKDT0,M,9680,10400,0.605,0.65,0.045,iy,120.44574838991768,548.2375863637918,1506.631284702231,2251.586739971718,3219.127807532473,530.8176949515108,1503.759858542155,2249.392471170021,3221.821749358952
27,49795,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MLBC0/SA2.WAV,MLBC0,M,24176,25190,1.511,1.574375,0.063375,iy,89.6838359195557,576.6185203190587,1550.105703359894,2301.274335442665,3417.1834596084627,562.4072584875303,1543.7319120756088,2386.948151720568,3411.9296372260533
28,70973,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MGAK0/SA1.WAV,MGAK0,M,4595,5360,0.2871875,0.335,0.0478125,iy,147.10949374034834,515.672232903816,1470.3285111368334,2260.591078085896,3696.2571019612046,509.8335934935328,1466.2373575159932,2377.7908163752154,3703.215800376758
29,921,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MRJO0/SI1364.WAV,MRJO0,M,38516,40062,2.40725,2.503875,0.096625,iy,139.87437595806588,531.2173491670349,1359.2033267211857,2505.220842763324,3242.6301736524338,515.4073501858184,1334.5801185903033,2522.215849032089,3217.36556903343
30,43734,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MTLB0/SX54.WAV,MTLB0,M,2330,3514,0.145625,0.219625,0.074,iy,137.41535552801273,513.2609835909694,1720.6935255706092,2455.49590256774,3463.197822903383,495.4664819183854,1760.9474851450464,2507.491963347012,3455.6225056958347
31,43687,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MTLB0/SX144.WAV,MTLB0,M,9315,11429,0.5821875,0.7143125,0.132125,iy,134.6452841612348,517.4619360438626,1227.472865895946,2483.0305721945624,3411.896825465792,494.344149436296,1071.7027126115745,2472.5982925600774,3367.101305446028
32,74219,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MSES0/SI1589.WAV,MSES0,M,42050,42920,2.628125,2.6825,0.054375,iy,122.20536914490036,482.0102933123341,1536.836312998659,2440.89767478635,3482.938945697701,457.643634518688,1514.9800475962263,2465.957335227198,3506.7075353185546
33,71625,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MHXL0/SA1.WAV,MHXL0,M,28564,29880,1.78525,1.8675,0.08225,iy,136.46625826387898,472.0524976838028,1538.4502773003155,2373.412764296717,3347.883062899338,452.2648365148096,1596.5596098886374,2442.0218391917765,3307.711976782416
34,23496,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MKLS0/SA1.WAV,MKLS0,M,32610,33587,2.038125,2.0991875,0.0610625,iy,121.58061838876016,513.3183853877135,1483.7395839250823,2181.262273334975,3399.9939068191093,497.744153877498,1469.4146987692702,2156.8160022653733,3394.016222935172
35,3435,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MMDB1/SI2255.WAV,MMDB1,M,3720,4540,0.2325,0.28375,0.05125,iy,136.74910247882227,543.9792942911569,1406.1233030093397,2470.869431689597,3380.480862637919,536.218255724179,1380.170022879432,2501.7737400574247,3366.1196169388704
36,40450,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MILB0/SA2.WAV,MILB0,M,21347,22516,1.3341875,1.40725,0.0730625,iy,131.88816504634633,516.0370430164335,1486.7995723931467,2287.417282934805,3386.091828436864,515.2708539732307,1537.3481913607454,2338.1049495759835,3392.073453824178
37,50440,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MMBS0/SI1151.WAV,MMBS0,M,12657,13451,0.7910625,0.8406875,0.049625,iy,123.26163245297654,455.4674564561203,1378.696859836188,2413.1065788988226,3459.8952623724485,440.0360007217214,1362.0319485557168,2402.143632433501,3388.180170870587
38,28566,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MBJV0/SI617.WAV,MBJV0,M,33963,35080,2.1226875,2.1925,0.0698125,iy,105.39312728541536,629.7061891340331,1311.9605105475146,2234.641788420921,3383.716883019464,626.7263110943907,1272.256766022524,2261.3792393319723,3403.0946353934323
39,29766,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDWD0/SA2.WAV,MDWD0,M,20386,21890,1.274125,1.368125,0.094,iy,135.88424376620983,598.8176435992862,1607.8516359643622,2373.4333709110724,3308.538188030016,584.3254872856181,1636.8569091706418,2479.0302759361803,3319.261165512756
40,59993,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRML0/SI1421.WAV,MRML0,M,7480,10280,0.4675,0.6425,0.175,iy,87.51563984996001,520.2409789415227,1549.6253866226857,2226.4137207757417,3374.4415626516816,490.3129106931251,1637.733656450758,2308.7617272633456,3353.555219177251
41,69184,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MBOM0/SX204.WAV,MBOM0,M,14579,15415,0.9111875,0.9634375,0.05225,iy,98.88194370786272,501.3387083465567,1572.575622944527,2424.068991742161,3642.530587799228,477.6185618146866,1560.9561747492444,2424.8593815088743,3688.729004594305
42,57373,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MGES0/SI851.WAV,MGES0,M,18478,19801,1.154875,1.2375625,0.0826875,iy,127.15147037544956,445.48307862764574,1579.8966742221926,2411.441145836718,3311.912663525942,427.7696362465717,1587.873350938651,2357.4065841626048,3333.83173140002
43,50407,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MLSH0/SX67.WAV,MLSH0,M,32920,34464,2.0575,2.154,0.0965,iy,122.84934817085636,521.1711719630378,1698.0246159313094,2396.882638072735,3711.706246868008,506.8152806365621,1746.035020616151,2538.6486042790625,3739.3682153358736
44,48661,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MJLB0/SA1.WAV,MJLB0,M,23143,24146,1.4464375,1.509125,0.0626875,iy,111.92951139140963,512.322401263794,1434.4438455810948,2125.070239585321,3443.226279423217,520.1566656367743,1427.3658165089173,2066.6053177254744,3393.0905447059454
45,60740,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MTAT0/SI1110.WAV,MTAT0,M,5320,7720,0.3325,0.4825,0.15,iy,116.96183598522948,534.8766258387005,1450.876210340474,2346.178537357346,3620.4690217162592,526.9700976146873,1448.9314431493044,2416.8234291544386,3634.387231991783
46,15834,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MDSC0/SI967.WAV,MDSC0,M,11400,12680,0.7125,0.7925,0.08,iy,113.05671833411942,550.6317026451576,1435.912218262231,2245.7885773188195,3223.0802051741143,532.4171064031691,1432.4176224893436,2321.4957852269886,3189.8336009944924
47,37982,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MBEF0/SA1.WAV,MBEF0,M,20786,21960,1.299125,1.3725,0.073375,iy,114.84161919488592,463.0710164332271,1456.430764115752,2122.529728215354,3341.297495289903,445.3543985907965,1523.9842898180698,2143.024615599568,3333.2048871633565
48,10223,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MGMM0/SI1129.WAV,MGMM0,M,44400,45960,2.775,2.8725,0.0975,iy,125.09003736996664,505.6852766681287,1379.5124583274628,2155.3985342496862,3560.97310922345,499.4531009795957,1433.0318525294958,2251.947076913189,3571.4008232270025
49,60572,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MSEM1/SX450.WAV,MSEM1,M,24062,25107,1.503875,1.5691875,0.0653125,iy,102.64097252901048,525.2096062340539,1454.3731794653495,2254.466135748919,3328.4336273812555,516.6767829909775,1471.4099092896602,2306.7299908191867,3390.983759105572
50,64850,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MPGR1/SI1499.WAV,MPGR1,M,13953,15480,0.8720625,0.9675,0.0954375,iy,113.49491935370465,617.7482067182564,1401.809822042693,2470.423609956956,3415.062442461686,575.1186669549436,1318.8578596302325,2348.747555266193,3324.363478756691
51,23007,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MEDR0/SA2.WAV,MEDR0,M,15624,16626,0.9765,1.039125,0.062625,iy,122.80191748365075,594.414601923018,1519.4717300188313,2464.950205102024,3591.5923069845726,590.2087611593868,1521.7657598685246,2574.4667969176103,3667.116428783528
52,5563,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MGJF0/SX191.WAV,MGJF0,M,16000,17545,1.0,1.0965625,0.0965625,iy,116.85989901882034,560.4707958825578,1397.564951102146,2333.752617972604,3543.219520943629,582.8531858363799,1287.1620606619813,2351.426846255404,3512.107796284571
53,65650,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MSMR0/SX235.WAV,MSMR0,M,38391,39160,2.3994375,2.4475,0.0480625,iy,161.8185694786199,648.6876687801822,1537.9459609525886,2362.071580497934,3575.470750700594,647.8277434800077,1502.3115482767296,2341.4613445947107,3552.332665400818
54,5363,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MCTW0/SA1.WAV,MCTW0,M,27901,28979,1.7438125,1.8111875,0.067375,iy,105.53051208465406,503.1371362112716,1440.4557093946742,2365.524851681568,3348.1670031756007,501.8047661948867,1493.9701606910285,2396.152794256558,3353.572182593088
55,20009,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/MAJC0/SX295.WAV,MAJC0,M,42415,44280,2.6509375,2.7675,0.1165625,iy,120.39878695804178,558.8503314176808,1406.1214847356237,2061.196684191844,3493.201275775112,569.8087256169216,1316.467116202933,2132.464470743933,3520.6731202033207
56,48642,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MJJJ0/SX443.WAV,MJJJ0,M,28114,29451,1.757125,1.8406875,0.0835625,iy,115.07177739415782,479.6864014656786,1479.2424102287212,2484.369855946964,3391.509370792964,473.40563672577696,1392.496699387901,2513.170380255202,3383.395125639024
57,44164,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MWDK0/SI806.WAV,MWDK0,M,5723,7240,0.3576875,0.4525,0.0948125,iy,115.19542426064984,550.2473898671241,1554.5747774232136,2374.8922380012937,3564.0964596709523,500.3068310233216,1564.6136167025454,2361.0487147088293,3566.804966750347
58,60087,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRML0/SX71.WAV,MRML0,M,29850,32715,1.865625,2.0446875,0.1790625,iy,94.16624287732976,566.0344257530894,1423.9633329571805,2276.0027273932105,3496.0966726045003,546.4438231655844,1426.7541020190722,2334.743385994666,3472.1585297657502
59,24973,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MTJS0/SI1822.WAV,MTJS0,M,6920,8355,0.4325,0.5221875,0.0896875,iy,142.26070588487863,530.5927938178929,1476.5110838047858,2605.990823707722,3629.778169976253,522.732187753991,1425.7283403313336,2622.2506168887817,3646.880489959641
60,14250,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MDWK0/SX280.WAV,MDWK0,M,2720,3926,0.17,0.245375,0.075375,iy,99.43355921390562,540.4515346640402,1377.649977048606,2375.1036461950457,3508.6144572816725,514.1477191541587,1296.8516807644066,2460.1607336383,3537.105384807038
61,58588,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MMAB1/SA1.WAV,MMAB1,M,31248,32584,1.953,2.0365,0.0835,iy,101.45713647719218,501.4008584769241,1466.3199581414956,2111.0877104032734,3247.8067243579026,483.3493749555121,1538.929068066757,2134.0229065517265,3244.702994691317
62,7246,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MRTK0/SI1750.WAV,MRTK0,M,5096,6210,0.3185,0.388125,0.069625,iy,108.49536873447906,555.6817426397114,1520.820764181656,2296.652954280492,3493.7365194577064,541.9183227280812,1530.05098706115,2343.905921007848,3517.1932993468336
63,29695,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDSS0/SX171.WAV,MDSS0,M,43700,44410,2.73125,2.775625,0.044375,iy,133.13025374000242,522.9437338868346,1382.0089233703834,2217.086040267618,3303.2431353292413,476.8769890102912,1405.1232574231203,2250.800778169455,3297.5326578560043
64,18859,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR7/MPAB0/SX228.WAV,MPAB0,M,2360,5556,0.1475,0.34725,0.19975,iy,109.47154559704342,461.8692103852761,1402.7574731451152,2592.531620430405,3425.885456386813,461.7525083655258,1231.5895695330707,2581.8955397378563,3443.8152546425463
65,59881,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRLD0/SI1594.WAV,MRLD0,M,23381,24647,1.4613125,1.5404375,0.079125,iy,117.35440556602153,552.2436518339059,1368.0670300382164,2648.5119448823234,3608.3484174242217,554.2226655919795,1413.2116447035446,2744.029281140225,3629.9901420779647
66,51376,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MRAB1/SX308.WAV,MRAB1,M,34960,35926,2.185,2.245375,0.060375,iy,121.28862399000158,563.8146291112802,1443.5157411548705,2536.6213164962483,3482.530014153992,527.1806719224253,1417.13550073052,2518.169849436761,3445.817710215868
67,69321,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MBTH0/SX302.WAV,MBTH0,M,36010,37440,2.250625,2.34,0.089375,iy,134.1818824745056,501.5412501374992,1424.187034234288,2386.677521916557,3470.4395295280924,483.43246825376286,1348.6642782845247,2426.543675686522,3415.6593093416923
68,5362,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MCTW0/SA1.WAV,MCTW0,M,24883,25775,1.5551875,1.6109375,0.05575,iy,105.53051208465406,503.1371362112716,1440.4557093946742,2365.524851681568,3348.1670031756007,501.8047661948867,1493.9701606910285,2396.152794256558,3353.572182593088
69,20038,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR8/MDAW1/SA2.WAV,MDAW1,M,11280,12200,0.705,0.7625,0.0575,iy,97.52927079686452,530.842818646311,1428.8125093359322,2200.40161386242,3431.4005129501447,536.0118776522193,1429.2756409145504,2211.4331740212588,3446.397138334174
70,14325,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MFGK0/SI1744.WAV,MFGK0,M,35240,37263,2.2025,2.3289375,0.1264375,iy,119.6855029328012,506.4686050927016,1663.8985758501003,2499.915232764054,3395.236553735959,499.8008659615758,1750.8730071442833,2514.2451618388573,3438.5363449102665
71,71100,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MGAR0/SA1.WAV,MGAR0,M,4920,5960,0.3075,0.3725,0.065,iy,132.5841301663304,535.4328614588776,1617.2548468891878,2307.6986009462203,3600.416514025301,518.8171998868463,1695.965628454985,2281.8115876904976,3613.5006989001295
