slno,idx,audio_filepath,person,sex,start_sample,end_sample,start_second,end_second,duration_second,vowel_type
22,51812,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MSFH0/SA1.WAV,MSFH0,M,5339,7888,0.3336875,0.493,0.1593125,iy
23,74084,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MSDB0/SA2.WAV,MSDB0,M,15755,16751,0.9846875,1.0469375,0.06225,iy
24,43713,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MTLB0/SX324.WAV,MTLB0,M,30904,32279,1.9315,2.0174375,0.0859375,iy
25,33395,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRJM0/SA1.WAV,MRJM0,M,33480,34120,2.0925,2.1325,0.04,iy
26,44005,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MVJH0/SA2.WAV,MVJH0,M,9680,11600,0.605,0.725,0.12,iy
27,42814,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MRJB1/SI2021.WAV,MRJB1,M,48624,50627,3.039,3.1641875,0.1251875,iy
28,23379,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MJWT0/SA2.WAV,MJWT0,M,20261,21180,1.2663125,1.32375,0.0574375,iy
29,47528,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MFWK0/SA1.WAV,MFWK0,M,26527,28281,1.6579375,1.7675625,0.109625,iy
30,48409,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MJEE0/SA1.WAV,MJEE0,M,4360,5520,0.2725,0.345,0.0725,iy
31,46453,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MARW0/SX106.WAV,MARW0,M,20386,21848,1.274125,1.3655,0.091375,iy
32,74145,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MSDB0/SX17.WAV,MSDB0,M,17352,18269,1.0845,1.1418125,0.0573125,iy
33,29621,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDSS0/SA1.WAV,MDSS0,M,10318,11200,0.644875,0.7,0.055125,iy
34,29766,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDWD0/SA2.WAV,MDWD0,M,20386,21890,1.274125,1.368125,0.094,iy
35,46915,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MCSS0/SA2.WAV,MCSS0,M,10320,11440,0.645,0.715,0.07,iy
36,7431,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MTAA0/SX295.WAV,MTAA0,M,40600,42234,2.5375,2.639625,0.102125,iy
37,46411,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MARW0/SA2.WAV,MARW0,M,11362,13720,0.710125,0.8575,0.147375,iy
38,47073,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MDCD0/SI785.WAV,MDCD0,M,14590,16501,0.911875,1.0313125,0.1194375,iy
39,58484,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MJXA0/SA2.WAV,MJXA0,M,15248,16501,0.953,1.0313125,0.0783125,iy
40,77486,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MMEA0/SX38.WAV,MMEA0,M,6940,8120,0.43375,0.5075,0.07375,iy
41,75154,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTPR0/SX340.WAV,MTPR0,M,18630,21160,1.164375,1.3225,0.158125,iy
42,61543,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MWEM0/SX240.WAV,MWEM0,M,8424,11030,0.5265,0.689375,0.162875,iy
43,7072,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MMWH0/SA1.WAV,MMWH0,M,28866,29827,1.804125,1.8641875,0.0600625,iy
44,23007,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MEDR0/SA2.WAV,MEDR0,M,15624,16626,0.9765,1.039125,0.062625,iy
45,34046,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRMS0/SI1113.WAV,MRMS0,M,15039,15958,0.9399375,0.997375,0.0574375,iy
46,31138,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MJRP0/SA1.WAV,MJRP0,M,25733,26717,1.6083125,1.6698125,0.0615,iy
47,57101,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MEWM0/SA1.WAV,MEWM0,M,28861,30444,1.8038125,1.90275,0.0989375,iy
48,43894,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MTPP0/SA2.WAV,MTPP0,M,12000,13200,0.75,0.825,0.075,iy
49,41026,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MJRH1/SA1.WAV,MJRH1,M,28066,29640,1.754125,1.8525,0.098375,iy
50,24701,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MRSO0/SA1.WAV,MRSO0,M,29827,30712,1.8641875,1.9195,0.0553125,iy
51,3236,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MGWT0/SX279.WAV,MGWT0,M,18890,19764,1.180625,1.23525,0.054625,iy
52,39251,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MDLC0/SI2025.WAV,MDLC0,M,29580,30960,1.84875,1.935,0.08625,iy
53,40223,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MHJB0/SI1647.WAV,MHJB0,M,20595,22603,1.2871875,1.4126875,0.1255,iy
54,43239,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MSFV0/SA1.WAV,MSFV0,M,4141,5430,0.2588125,0.339375,0.0805625,iy
55,70222,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MDLC1/SX445.WAV,MDLC1,M,21170,22260,1.323125,1.39125,0.068125,iy
56,18155,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR7/MGRT0/SA1.WAV,MGRT0,M,33559,35660,2.0974375,2.22875,0.1313125,iy
57,24986,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MTJS0/SI1822.WAV,MTJS0,M,53516,55320,3.34475,3.4575,0.11275,iy
58,2932,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MDBB0/SI1825.WAV,MDBB0,M,3000,3926,0.1875,0.245375,0.057875,iy
59,15932,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MESD0/SA2.WAV,MESD0,M,26736,27947,1.671,1.7466875,0.0756875,iy
60,29148,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDLB0/SA1.WAV,MDLB0,M,35509,37180,2.2193125,2.32375,0.1044375,iy
61,39281,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MDLC0/SX225.WAV,MDLC0,M,3180,4440,0.19875,0.2775,0.07875,iy
62,29651,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDSS0/SI1881.WAV,MDSS0,M,19160,20678,1.1975,1.292375,0.094875,iy
63,56857,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MDWH0/SA2.WAV,MDWH0,M,12866,15014,0.804125,0.938375,0.13425,iy
64,30873,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MJMA0/SX55.WAV,MJMA0,M,11330,13744,0.708125,0.859,0.150875,iy
65,14447,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MKLT0/SI583.WAV,MKLT0,M,22976,24229,1.436,1.5143125,0.0783125,iy
66,70658,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MDPB0/SI866.WAV,MDPB0,M,3140,4135,0.19625,0.2584375,0.0621875,iy
67,16615,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MRJS0/SX4.WAV,MRJS0,M,21000,22478,1.3125,1.404875,0.092375,iy
68,43755,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MTPG0/SA1.WAV,MTPG0,M,23860,25040,1.49125,1.565,0.07375,iy
69,32103,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MMDS0/SX443.WAV,MMDS0,M,22516,23868,1.40725,1.49175,0.0845,iy
70,47960,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MGRP0/SI687.WAV,MGRP0,M,3150,4762,0.196875,0.297625,0.10075,iy
71,16214,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR6/MJFC0/SX133.WAV,MJFC0,M,19040,20600,1.19,1.2875,0.0975,iy
72,74248,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MSES0/SX149.WAV,MSES0,M,16530,17107,1.033125,1.0691875,0.0360625,iy
73,13750,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MCTT0/SX298.WAV,MCTT0,M,17545,19100,1.0965625,1.19375,0.0971875,iy
74,34062,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRMS0/SI2057.WAV,MRMS0,M,2815,3560,0.1759375,0.2225,0.0465625,iy
75,14275,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MFGK0/SA1.WAV,MFGK0,M,33160,34440,2.0725,2.1525,0.08,iy
76,74336,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTAB0/SI1572.WAV,MTAB0,M,16530,17671,1.033125,1.1044375,0.0713125,iy
77,72206,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MJJM0/SX17.WAV,MJJM0,M,19346,20680,1.209125,1.2925,0.083375,iy
78,61332,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MWAC0/SX341.WAV,MWAC0,M,14830,16122,0.926875,1.007625,0.08075,iy
79,40769,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MJJB0/SX419.WAV,MJJB0,M,12840,14120,0.8025,0.8825,0.08,iy
80,10547,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MKCL0/SA1.WAV,MKCL0,M,3860,4840,0.24125,0.3025,0.06125,iy
81,33270,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRJH0/SA1.WAV,MRJH0,M,26826,28020,1.676625,1.75125,0.074625,iy
82,58243,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MJRG0/SI1996.WAV,MJRG0,M,8870,10800,0.554375,0.675,0.120625,iy
83,57620,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MHIT0/SI2243.WAV,MHIT0,M,20714,22200,1.294625,1.3875,0.092875,iy
84,49566,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MJXL0/SI1172.WAV,MJXL0,M,57560,58760,3.5975,3.6725,0.075,iy
85,33045,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MRGS0/SI1356.WAV,MRGS0,M,24840,26297,1.5525,1.6435625,0.0910625,iy
86,30546,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MJEB0/SI1286.WAV,MJEB0,M,25232,26402,1.577,1.650125,0.073125,iy
87,59422,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MRAM0/SX15.WAV,MRAM0,M,7000,8939,0.4375,0.5586875,0.1211875,iy
88,10918,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR4/MPCS0/SA1.WAV,MPCS0,M,4720,5723,0.295,0.3576875,0.0626875,iy
89,51674,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR4/MRGM0/SX82.WAV,MRGM0,M,16240,17629,1.015,1.1018125,0.0868125,iy
90,882,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MRJO0/SA1.WAV,MRJO0,M,3780,5000,0.23625,0.3125,0.07625,iy
91,38052,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MBEF0/SX111.WAV,MBEF0,M,9240,10120,0.5775,0.6325,0.055,iy
92,7737,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MWJG0/SI1124.WAV,MWJG0,M,26067,27880,1.6291875,1.7425,0.1133125,iy
93,15198,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MSFH1/SI640.WAV,MSFH1,M,33800,35400,2.1125,2.2125,0.1,iy
94,28982,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDBP0/SX258.WAV,MDBP0,M,20253,21080,1.2658125,1.3175,0.0516875,iy
95,23774,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MMGG0/SI1709.WAV,MMGG0,M,10195,12060,0.6371875,0.75375,0.1165625,iy
96,31514,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MKDT0/SI2153.WAV,MKDT0,M,4078,4678,0.254875,0.292375,0.0375,iy
97,25140,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MTPF0/SX155.WAV,MTPF0,M,21400,23360,1.3375,1.46,0.1225,iy
98,28886,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MCTM0/SX450.WAV,MCTM0,M,41903,42440,2.6189375,2.6525,0.0335625,iy
99,71390,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MGSL0/SI534.WAV,MGSL0,M,3400,4929,0.2125,0.3080625,0.0955625,iy
100,64252,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR6/MESJ0/SI2039.WAV,MESJ0,M,57400,58360,3.5875,3.6475,0.06,iy
101,74367,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MTAB0/SI942.WAV,MTAB0,M,56908,58678,3.55675,3.667375,0.110625,iy
102,6381,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MJVW0/SI473.WAV,MJVW0,M,5305,6475,0.3315625,0.4046875,0.073125,iy
103,31600,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MKDT0/SX443.WAV,MKDT0,M,26026,26694,1.626625,1.668375,0.04175,iy
104,42872,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MRTC0/SA1.WAV,MRTC0,M,32126,33000,2.007875,2.0625,0.054625,iy
105,68911,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MBBR0/SI1685.WAV,MBBR0,M,12445,13406,0.7778125,0.837875,0.0600625,iy
106,5263,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR3/MCSH0/SI1549.WAV,MCSH0,M,16960,18800,1.06,1.175,0.115,iy
107,60473,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MSEM1/SA2.WAV,MSEM1,M,12856,14520,0.8035,0.9075,0.104,iy
108,41893,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR3/MMJB1/SA2.WAV,MMJB1,M,23644,24605,1.47775,1.5378125,0.0600625,iy
109,61413,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MWCH0/SI2252.WAV,MWCH0,M,23270,24814,1.454375,1.550875,0.0965,iy
110,29335,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR2/MDLC2/SX264.WAV,MDLC2,M,8340,8966,0.52125,0.560375,0.039125,iy
111,4057,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR2/MRGG0/SI569.WAV,MRGG0,M,23160,24680,1.4475,1.5425,0.095,iy
112,24176,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MPGR0/SX420.WAV,MPGR0,M,7410,9274,0.463125,0.579625,0.1165,iy
113,869,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR1/MREB0/SX295.WAV,MREB0,M,40360,41240,2.5225,2.5775,0.055,iy
114,24086,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR1/MPGR0/SA1.WAV,MPGR0,M,24910,25984,1.556875,1.624,0.067125,iy
115,14650,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TEST/DR5/MRJM3/SA2.WAV,MRJM3,M,18631,20762,1.1644375,1.297625,0.1331875,iy
116,72623,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MKDB0/SX62.WAV,MKDB0,M,21932,22920,1.37075,1.4325,0.06175,iy
117,69366,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR7/MCLK0/SA2.WAV,MCLK0,M,16250,17809,1.015625,1.1130625,0.0974375,iy
118,60273,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR5/MSAS0/SI746.WAV,MSAS0,M,9693,11320,0.6058125,0.7075,0.1016875,iy
119,76664,/home/jeevan/datasets/TIMIT Acoustic-Phonetic Continuous Speech Corpus (LDC93S1)/TIMIT/TRAIN/DR8/MBCG0/SA2.WAV,MBCG0,M,23895,25640,1.4934375,1.6025,0.1090625,iy
